"NamePitchConc","pitch_type_name","avg_speed","pfx_x","pfx_z","release_spin_rate","spin_axis","BauerUnits"
" Adam Wainwright - Curveball","Curveball",73.4,-16.5101486988848,-14.7458364312268,2834.78252788104,44.1050185873606,38.6210153662267
" Zack Greinke - Curveball","Curveball",71.1,-11.3293457943925,-10.4276635514019,2358.28504672897,51.1144859813084,33.1685660580727
" Yusmeiro Petit - Curveball","Curveball",74.9,-9.71428571428572,-0.00326530612244899,2017.5306122449,71.1700680272109,26.9363232609466
" Corey Kluber - Curveball","Curveball",81.9,-16.890612244898,0.237551020408163,2505.76785714286,58.7984693877551,30.5954561311704
" Junior Guerra - Curveball","Curveball",80.8,-4.96530612244898,-9.07040816326531,2556.02040816327,48.2142857142857,31.6339159426147
" Charlie Morton - Curveball","Curveball",80.6,-16.5887279151943,-10.0574204946996,3054.67402826855,59.6475265017668,37.8991814921657
" Blake Parker - Curveball","Curveball",75.8,-5.4,-8.87357142857143,2092.01785714286,45.0178571428571,27.5991801733886
" Max Scherzer - Curveball","Curveball",76.9,-13.4065017667845,-7.92,2661.11660777385,60.6077738515901,34.6048973702712
" Jake Arrieta - Curveball","Curveball",80.4,-12.1391821561338,-10.1906319702602,2690.1970260223,46.3308550185874,33.4601620152028
" Josh Tomlin - Curveball","Curveball",76.4,-4.16311688311688,-6.63116883116883,2686.98701298701,40.7878787878788,35.1699870809818
" Jhoulys ChacA-n - Curveball","Curveball",81.2,-12.3296042216359,1.1601055408971,2445.18997361478,70.8812664907652,30.1131770149603
" Deolis Guerra - Curveball","Curveball",77.1,-9.64823529411765,-14.0247058823529,2165.25490196078,27.9019607843137,28.0837211668065
" Kyle Gibson - Curveball","Curveball",79.4,-7.21609195402299,-8.38988505747126,2435.30268199234,52.6934865900383,30.6713184130017
" Paolo Espino - Curveball","Curveball",71.1,-12.8725714285714,-18.6608571428571,2983.58095238095,41.1095238095238,41.9631638872145
" Chase Anderson - Curveball","Curveball",76.9,-5.82077922077922,-14.6025974025974,2034.35064935065,22.6103896103896,26.4544947899954
" Yu Darvish - Curveball","Curveball",75.1,-10.310243902439,-15.1180487804878,2624.09756097561,32.9105691056911,34.9413789743756
" Matt Harvey - Curveball","Curveball",79.9,-11.8425723472669,-6.54868167202572,2488.59807073955,40.443729903537,31.1464088953636
" Greg Holland - Curveball","Curveball",77.4,-4.54947368421053,-8.09368421052632,2291.93859649123,35.140350877193,29.6116097737885
" Merrill Kelly - Curveball","Curveball",81.3,-9.13616438356164,-9.81424657534247,2563.56849315068,49.5068493150685,31.5322077878313
" Ryan Pressly - Curveball","Curveball",82,-14.4845901639344,-13.3406557377049,3228.34836065574,27.0081967213115,39.3701019592163
" Liam Hendriks - Curveball","Curveball",85.8,-2.63009174311927,-9.46128440366973,2215.45871559633,34.4587155963303,25.8211971514724
" Humberto Castellanos - Curveball","Curveball",76.2,-9.69704918032787,-5.16459016393443,2352.14207650273,61.6994535519126,30.8680062533167
" Matt Andriese - Curveball","Curveball",80.1,-6.19666666666667,-13.9933333333333,2678.14814814815,34.8240740740741,33.4350580293152
" Tyler Chatwood - Curveball","Curveball",81,-12.6454054054054,-10.2778378378378,2877.78378378378,40.9189189189189,35.5281948615282
" Nathan Eovaldi - Curveball","Curveball",78.5,-9.89594306049822,-10.5093950177936,2084.39857651246,42.2740213523132,26.5528481084389
" Sonny Gray - Curveball","Curveball",79.3,-14.013046875,-13.6940625,2745.970703125,33.29296875,34.6276255122951
" Kyle Hendricks - Curveball","Curveball",73.2,-14.8967701863354,-11.7227329192547,2843.65217391304,42.0248447204969,38.847707293894
" Jordan Lyles - Curveball","Curveball",80.3,-6.93484230055659,-14.5433766233766,2618.19480519481,27.1985157699443,32.6051656935841
" Jake Odorizzi - Curveball","Curveball",73.5,-7.54125,-6.85375,2065.69791666667,57.5416666666667,28.1047335600907
" Bryan Shaw - Curveball","Curveball",82.4,-6.70615384615385,-14.2953846153846,2171.98717948718,25.9487179487179,26.3590677122231
" Cody Poteet - Curveball","Curveball",79.2,-12.652987012987,-8.85506493506494,2921.61038961039,54.7662337662338,36.8890200708382
" Yimi GarcA-a - Curveball","Curveball",83.6,-10.6534090909091,-2.97068181818182,2732.08522727273,80.3409090909091,32.6804453023054
" Zack Wheeler - Curveball","Curveball",81.5,-9.82491228070175,-11.5505263157895,2638.30409356725,45.2777777777778,32.3718293689233
" Miles Mikolas - Curveball","Curveball",76.5,-9.57428571428571,-15.2190476190476,2566.39682539683,31.968253968254,33.5476709202199
" Garrett Richards - Curveball","Curveball",78.2,-11.0156583629893,-19.2132384341637,3139.92170818505,30.0782918149466,40.1524515113178
" Burch Smith - Curveball","Curveball",78.7,-10.2457142857143,-13.6594285714286,2424.13333333333,37.0476190476191,30.8022024565862
" Pierce Johnson - Curveball","Curveball",84.3,-10.9724255319149,-4.92153191489362,2885.91063829787,43.8567375886525,34.2338154009238
" Mike Foltynewicz - Curveball","Curveball",76.7,-10.2947142857143,0.989571428571429,2315.76071428571,63.8678571428571,30.1924473831253
" Chi Chi GonzA!lez - Curveball","Curveball",81.2,-4.63807228915663,-2.10072289156627,2570.6265060241,80.4457831325301,31.6579618968485
" Jon Gray - Curveball","Curveball",76,-11.277,-9.22125,2585.26875,46.425,34.0166940789474
" Luke Jackson - Curveball","Curveball",83.9,-5.34341463414634,-12.4429268292683,2431.13008130081,25.7642276422764,28.9765206352898
" Adam Plutko - Curveball","Curveball",77,-11.3476056338028,-10.1814084507042,2894.0985915493,46.1830985915493,37.5856959941467
" Aaron Sanchez - Curveball","Curveball",74.2,-14.1306666666667,-11.3773333333333,2484.56666666667,52.0222222222222,33.484725965858
" Jameson Taillon - Curveball","Curveball",80.7,-10.2061197339246,-12.629534368071,2732.37694013304,37.8935698447894,33.8584503114379
" Taijuan Walker - Curveball","Curveball",76.4,-7.75893048128342,-12.4183957219251,2356.12834224599,40.7914438502674,30.8393762074082
" Trevor Williams - Curveball","Curveball",77.7,-9.73304347826087,-3.56608695652174,2238.39130434783,84.7463768115942,28.8081248950814
" Domingo GermA!n - Curveball","Curveball",81.1,-1.4444776119403,-3.87089552238806,2613.7276119403,46.6417910447761,32.2284539080185
" Wander Suero - Curveball","Curveball",78.8,-9.616875,-11.086875,2676.90625,38.609375,33.9708914974619
" Casey Sadler - Curveball","Curveball",79.6,-12.087868852459,-9.94229508196721,2818.91803278689,62.8306010928962,35.4135431254634
" Dan Winkler - Curveball","Curveball",82.4,-9.07285714285714,-3.18,2619.23214285714,77.1071428571429,31.786797850208
" Dillon Maples - Curveball","Curveball",84.1,-13.2574647887324,-15.0861971830986,3148.61971830986,48.9014084507042,37.4389978395941
" Robert Stephenson - Curveball","Curveball",81.5,-10.4551048951049,-6.63146853146853,3054.34265734266,56.8251748251748,37.4765970226093
