"NamePitchConc","pitch_type_name","avg_speed","pfx_x","pfx_z","release_spin_rate","spin_axis","BauerUnits"
" Adam Wainwright - 4-Seam Fastball","4-Seam Fastball",89,1.88298305084746,14.5407457627119,2227.49491525424,199.389830508475,25.0280327556656
" Zack Greinke - 4-Seam Fastball","4-Seam Fastball",88.9,1.28967804878049,16.4800390243902,2234.14341463415,194.925853658537,25.1309720431288
" Ervin Santana - 4-Seam Fastball","4-Seam Fastball",93.3,4.49912681912682,14.0220374220374,2175.84615384615,202.455301455301,23.3209662791656
" Yusmeiro Petit - 4-Seam Fastball","4-Seam Fastball",87.6,5.0250916496945,17.9726272912424,2135.99389002037,203.953156822811,24.3834918952097
" Junior Guerra - 4-Seam Fastball","4-Seam Fastball",92.2,4.49693023255814,18.9164651162791,2328.58604651163,201.590697674419,25.2558139534884
" Charlie Morton - 4-Seam Fastball","4-Seam Fastball",95.5,12.9732614555256,12.4780592991914,2341.88409703504,236.001796945193,24.5223465658119
" Wade Davis - 4-Seam Fastball","4-Seam Fastball",92.7,3.08670967741936,17.6403870967742,2390.85161290323,197.283870967742,25.7912795350941
" Ian Kennedy - 4-Seam Fastball","4-Seam Fastball",94.1,10.7834594594595,17.7061621621622,2427.08648648649,217.232432432432,25.7926300370509
" Daniel Bard - 4-Seam Fastball","4-Seam Fastball",97.4,9.49857142857143,9.86657142857143,2727.37857142857,226.642857142857,28.0018333822235
" Blake Parker - 4-Seam Fastball","4-Seam Fastball",90.7,2.70545454545455,15.7461818181818,2001.83333333333,199.357575757576,22.0709298052187
" Max Scherzer - 4-Seam Fastball","4-Seam Fastball",94.3,10.6035640648012,16.0460677466863,2436.411634757,223.087628865979,25.8368147906362
" Chris Martin - 4-Seam Fastball","4-Seam Fastball",94.8,7.59067669172932,14.2881203007519,2117.91353383459,213.041353383459,22.3408600615463
" Johnny Cueto - 4-Seam Fastball","4-Seam Fastball",91.8,11.6626586102719,15.4921450151057,2240.04531722054,225.043806646526,24.4013651113349
" Lance Lynn - 4-Seam Fastball","4-Seam Fastball",94,6.09779833487512,14.953598519889,2408.24699352451,215.887141535615,25.6196488672821
" Josh Tomlin - 4-Seam Fastball","4-Seam Fastball",88.9,5.87208791208791,18.4173626373626,2311.28571428571,207.747252747253,25.9987144464085
" Joakim Soria - 4-Seam Fastball","4-Seam Fastball",92.8,4.94874651810585,17.7101949860724,2336.86629526462,208.041782729805,25.181748871386
" Jhoulys Chacin - 4-Seam Fastball","4-Seam Fastball",92.5,4.66542056074766,14.4044859813084,2240.43925233645,208.691588785047,24.2209648901238
" Carlos Carrasco - 4-Seam Fastball","4-Seam Fastball",93.4,7.02837606837607,14.9388034188034,2259.51282051282,222.304843304843,24.191786086861
" Cesar Valdez - 4-Seam Fastball","4-Seam Fastball",85.3,14.6872727272727,10.0709090909091,2129.56060606061,253.863636363636,24.965540516537
" Adam Ottavino - 4-Seam Fastball","4-Seam Fastball",95.5,5.26543933054393,14.3412552301255,2436.84518828452,218.824267782427,25.5167035422463
" Deolis Guerra - 4-Seam Fastball","4-Seam Fastball",90.7,12.0333,17.2782,2297.095,220.305,25.3262954796031
" Michael Pineda - 4-Seam Fastball","4-Seam Fastball",90.6,6.49729144095341,14.3279739978332,1946.30877573131,216.973997833153,21.4824368182264
" Joe Smith - 4-Seam Fastball","4-Seam Fastball",87.3,16.6895364238411,5.98728476821192,1994.56953642384,264.476821192053,22.8473028227244
" Kyle Gibson - 4-Seam Fastball","4-Seam Fastball",92.8,5.59639344262295,16.3403278688525,2291.5737704918,211.486338797814,24.6936828716789
" Paolo Espino - 4-Seam Fastball","4-Seam Fastball",89,3.48815047021944,19.1966144200627,2216.27481713689,197.155694879833,24.9019642374931
" Brad Boxberger - 4-Seam Fastball","4-Seam Fastball",93.5,6.07466666666667,17.0662564102564,2382.2547008547,202.894017094017,25.4786599021893
" Trevor Cahill - 4-Seam Fastball","4-Seam Fastball",90.4,9.6380487804878,16.0390243902439,2231.82926829268,221.512195121951,24.6883768616447
" Chase Anderson - 4-Seam Fastball","4-Seam Fastball",91.5,6.12525547445255,17.5909489051095,2121.0802919708,201.583941605839,23.1812053767301
" Wily Peralta - 4-Seam Fastball","4-Seam Fastball",93.6,6.88729222520107,15.71581769437,1874.45040214477,208.246648793566,20.0261795100937
" Yu Darvish - 4-Seam Fastball","4-Seam Fastball",94.5,6.28426229508197,18.9869508196721,2513.46885245902,206.462295081967,26.5975539942753
" Alex Colome - 4-Seam Fastball","4-Seam Fastball",93.7,2.35052307692308,18.1111384615385,2101.01230769231,191.196923076923,22.4227567523192
" Steve Cishek - 4-Seam Fastball","4-Seam Fastball",89.7,10.2885436893204,11.0423300970874,2386.23300970874,238.305825242718,26.6023746901754
" Matt Harvey - 4-Seam Fastball","4-Seam Fastball",93.4,12.3061741424802,14.525382585752,2157.25197889182,222.431398416887,23.0969162622251
" Greg Holland - 4-Seam Fastball","4-Seam Fastball",92.8,0.163690773067332,17.5253865336658,2236.39152119701,189.02493765586,24.0990465646229
" Merrill Kelly - 4-Seam Fastball","4-Seam Fastball",91.7,7.17011494252874,15.7083524904215,2358.48275862069,219.591315453384,25.7195502575866
" Craig Kimbrel - 4-Seam Fastball","4-Seam Fastball",96.5,10.2956756756757,14.6582432432432,2302.43074324324,225.206081081081,23.8593859403445
" Jimmy Nelson - 4-Seam Fastball","4-Seam Fastball",93.8,2.67052023121387,17.2154913294798,2613.34104046243,199.705202312139,27.8607786829683
" Ryan Pressly - 4-Seam Fastball","4-Seam Fastball",95.4,0.975193798449612,17.0886821705426,2561.20413436693,198.382428940568,26.8470035048944
