"NamePitchConc","pitch_type_name","avg_speed","pfx_x","pfx_z","release_spin_rate","spin_axis","BauerUnits"
" Zack Greinke - Slider","Slider",83.6,-7.88430769230769,2.96276923076923,2357.27435897436,133.933333333333,28.1970617102196
" Ervin Santana - Slider","Slider",84.4,-4.39584699453552,1.82535519125683,2318.89071038251,109.409836065574,27.4750084168544
" Brandon Kintzler - Slider","Slider",85.4,-0.965070422535211,3.55267605633803,2350.21126760563,149.521126760563,27.5200382623611
" Kenley Jansen - Slider","Slider",82,-5.99490909090909,-6.28509090909091,2449.12727272727,58.5272727272727,29.8674057649667
" Jesse Chavez - Slider","Slider",82.6,-6.53018181818182,2.712,2228.6,126.854545454545,26.9806295399516
" Junior Guerra - Slider","Slider",84.2,-6.19459459459459,0.814864864864865,2403.52702702703,72.2297297297297,28.5454516273994
" Daniel Bard - Slider","Slider",87.1,-9.23956989247312,2.59118279569892,2909.75268817204,102.182795698925,33.4070343073713
" Max Scherzer - Slider","Slider",85.9,-2.90577319587629,4.71814432989691,2270.88144329897,187.709621993127,26.4363381059251
" Jake Arrieta - Slider","Slider",88.3,-3.41465060240964,6.75787951807229,2277.24096385542,184.660240963855,25.7898183902086
" Chris Martin - Slider","Slider",83.5,-10.3142857142857,-6.36457142857143,2494.3619047619,43.1904761904762,29.8725976618192
" Johnny Cueto - Slider","Slider",84.4,-1.35878220140515,6.20149882903981,2261.07259953162,191.470725995316,26.7899597100902
" Joakim Soria - Slider","Slider",77.7,-15.0871875,-6.976875,2765.4296875,63.421875,35.5911156692407
" Jhoulys ChacA-n - Slider","Slider",88.2,-3.72807692307692,5.83846153846154,2474.73557692308,166.298076923077,28.0582264957265
" Carlos Carrasco - Slider","Slider",87.7,-1.23033707865169,5.63932584269663,2382.56179775281,198.168539325843,27.1671812742624
" Luis GarcA-a - Slider","Slider",86,-4.71258278145695,-0.803443708609272,2384.88741721854,70.0132450331126,27.7312490374249
" Sergio Romo - Slider","Slider",77,-13.6731606217617,8.15502590673575,2815.0414507772,86.2677029360967,36.5589798802234
" CA(C)sar Valdez - Slider","Slider",76.8,-7.71692307692308,-3.63692307692308,2351.02564102564,59.974358974359,30.612313034188
" Adam Ottavino - Slider","Slider",80.6,-18.9731320754717,-0.472981132075472,2744.70188679245,63.8132075471698,34.0533732852662
" Deolis Guerra - Slider","Slider",84.1,-2.93376623376623,7.73064935064935,2305.53246753247,179.214285714286,27.4141791620983
" Michael Pineda - Slider","Slider",81.2,-0.486843177189409,1.01841140529532,1963.31771894094,192.940936863544,24.1787896421298
" Joe Smith - Slider","Slider",77.4,-14.7779735682819,10.4088105726872,2191.88986784141,94.2070484581498,28.3189905405867
" Kyle Gibson - Slider","Slider",83.5,-5.62727272727273,-0.867012987012987,2513.55194805195,78.4199134199134,30.1024185395443
" Paolo Espino - Slider","Slider",77.6,-18.0501052631579,2.16,2693.69122807018,69.5263157894737,34.7125158256466
" Brad Boxberger - Slider","Slider",88,-6.31370078740158,6.51543307086614,2450.49606299213,157.740157480315,27.8465461703651
" Wily Peralta - Slider","Slider",82.6,-1.31243553008596,0.751289398280802,2172.37249283668,111.575931232092,26.2999091142455
" Rafael Dolis - Slider","Slider",86.4,-7.30705035971223,2.91798561151079,2444.8345323741,137.388489208633,28.2966959765521
" Yu Darvish - Slider","Slider",81.6,-16.2684896661367,-1.84597774244833,2759.39586645469,51.3736089030207,33.8161258143957
" Steve Cishek - Slider","Slider",77.5,-16.5290644490644,-3.96548856548856,2375.65904365904,72.1413721413721,30.6536650794715
" Matt Harvey - Slider","Slider",86.9,-1.55359628770302,6.44491879350348,2370.09976798144,189.501160092807,27.2738753507645
" Greg Holland - Slider","Slider",85.7,-5.00806652806653,1.19575883575884,2088.45738045738,126.806652806653,24.3693976716147
" Jimmy Nelson - Slider","Slider",86.5,-13.6118343195266,-1.5905325443787,2975.5798816568,53.8343195266272,34.3997674179977
" Ryan Pressly - Slider","Slider",90.5,-4.72738636363636,3.83079545454545,2685.79261363636,147.534090909091,29.6772664490206
" Hunter Strickland - Slider","Slider",83.8,-9.94183622828784,-0.342133995037221,2768.99007444169,69.1612903225806,33.042840983791
" Liam Hendriks - Slider","Slider",89,-1.90169491525424,3.24661016949153,2178.10169491525,161.203389830508,24.4730527518568
" Humberto Castellanos - Slider","Slider",86.9,-1.27404255319149,8.99234042553192,1985.74468085106,206.808510638298,22.850916925789
" Matt Shoemaker - Slider","Slider",82.2,-4.00551724137931,1.83218390804598,2076.42528735632,81.7777777777778,25.2606482646754
" JosA(C) Cisnero - Slider","Slider",88.4,-4.25939393939394,4.88040404040404,2525.60269360269,159.124579124579,28.570166217225
" Shawn Armstrong - Slider","Slider",85.4,-11.6778947368421,-2.49947368421053,2700.47368421053,92.8289473684211,31.621471712067
" Anthony Bass - Slider","Slider",85.9,-4.46104384133612,-2.81110647181628,2193.61169102296,81.3653444676409,25.5368066475316
